game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
63,1979,w,1-0,1.0,89,D15,8,27,16,-1,0.0,-1,none,1.2,11,0,0,0,1,29.5,33.095238095238095,0.9126282764664083,9,4,6,6,0
64,1979,w,1-0,1.0,81,C83,10,53,23,64,0.2222222222222222,9,k,1.6,0,0,0,0,2,39.35,35.80952380952381,1.1404307948646428,14,1,8,3,0
65,1979,w,1-0,1.0,80,C24,35,80,35,-1,0.0,11,k,2.45,0,0,0,0,1,36.9,37.04761904761905,1.0164860402309799,5,0,3,9,0
66,1979,w,1-0,1.0,129,D14,7,96,19,96,0.26356589147286824,21,k,3.0,2,0,0,0,2,39.8,34.333333333333336,1.1870519865492575,13,3,3,11,0
67,1979,w,0-1,0.0,136,B60,6,-1,21,-1,0.0,25,k,1.85,0,0,0,0,2,46.7,32.61904761904762,1.4587372510795122,10,3,6,3,0
76,1979,w,1-0,1.0,73,B81,6,41,23,-1,0.0,-1,none,0.55,7,2,2,1,3,39.9,28.38095238095238,1.4057697149404824,10,0,8,3,0
77,1979,w,1-0,1.0,65,A25,19,-1,46,-1,0.0,29,k,3.0,0,0,1,0,2,41.0,35.714285714285715,1.1508187245910766,7,1,5,5,1
78,1979,w,1/2-1/2,0.5,45,A30,22,-1,-1,-1,0.0,15,k,2.5384615384615383,0,0,0,0,2,41.69230769230769,31.846153846153847,1.3244908581412793,1,0,1,0.0,0
82,1980,w,1-0,1.0,57,E42,10,-1,30,-1,0.0,25,k,0.6842105263157895,0,0,1,0,3,42.1578947368421,41.36842105263158,1.0125209919393234,7,1,3,2,0
84,1980,w,1/2-1/2,0.5,66,A13,6,46,30,-1,0.0,19,k,2.5,0,0,1,0,2,39.9,31.761904761904763,1.2697254080884819,8,0,3,9,0
86,1980,w,1-0,1.0,113,A44,53,81,76,-1,0.0,17,k,2.1,0,0,0,0,1,40.1,30.142857142857142,1.3528848123202963,9,2,9,5,0
88,1980,w,1-0,1.0,60,D58,17,-1,17,-1,0.0,21,q,1.7,0,0,0,0,2,45.55,38.19047619047619,1.2096507152178904,8,4,2,5,0
90,1980,w,1/2-1/2,0.5,57,E46,13,-1,34,-1,0.0,19,k,2.4210526315789473,0,0,2,0,3,40.31578947368421,47.94736842105263,0.8386659398188459,6,0,3,3,0
92,1980,w,1-0,1.0,80,E92,28,-1,31,-1,0.0,-1,none,1.0,8,0,1,1,2,41.2,24.857142857142858,1.7844518677261252,7,2,6,3,1
94,1980,w,1-0,1.0,59,E12,11,-1,21,-1,0.0,29,k,2.8,0,0,0,0,2,39.4,31.65,1.2641729703688214,10,6,4,5,0
96,1980,w,1-0,1.0,77,A48,15,61,55,-1,0.0,17,k,3.0,0,0,0,0,2,42.2,38.142857142857146,1.0973778999916017,7,1,9,3,0
97,1980,w,1-0,1.0,55,A67,8,-1,38,-1,0.0,23,k,1.8888888888888888,0,0,0,1,2,47.333333333333336,34.611111111111114,1.3716286627898917,8,1,5,0.0,0
99,1980,w,1-0,1.0,79,B06,17,76,37,-1,0.0,15,k,3.0,0,0,0,0,2,43.85,37.904761904761905,1.1750355546067965,8,4,3,9,1
102,1980,w,1-0,1.0,71,E12,11,-1,20,-1,0.0,23,k,2.25,0,0,1,0,2,41.4,41.42857142857143,1.0081515899103168,7,2,4,1,0
104,1980,w,1/2-1/2,0.5,43,A14,17,-1,26,-1,0.0,9,k,2.8333333333333335,0,0,0,0,2,37.583333333333336,40.583333333333336,0.9065232323943124,4,0,3,1,0
