game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
74,2002,w,1-0,1.0,83,C47,9,-1,10,-1,0.0,47,q,1.35,8,0,0,0,2,40.6,29.666666666666668,1.4003239712009876,7,9,5,5,1
76,2002,w,0-1,0.0,112,D15,15,42,15,71,0.375,21,k,3.0,0,0,1,0,3,35.85,31.904761904761905,1.1194329813269688,11,2,4,9,0
78,2002,w,1/2-1/2,0.5,97,A10,33,-1,44,-1,0.0,11,k,2.8,0,0,0,0,2,41.9,37.095238095238095,1.1766467718242675,8,11,4,2,0
80,2002,w,1-0,1.0,121,C65,25,39,25,-1,0.0,9,k,3.0,0,0,0,0,2,33.7,32.61904761904762,1.079571170647356,13,3,9,3,0
82,2002,w,1-0,1.0,61,E54,5,-1,26,-1,0.0,17,k,2.55,0,0,1,1,3,48.4,34.476190476190474,1.431215313394483,6,6,4,2,0
86,2002,w,0-1,0.0,92,A29,16,38,16,-1,0.0,11,k,3.0,0,0,0,0,2,32.85,33.23809523809524,1.0193910300309148,7,1,3,9,0
88,2002,w,0-1,0.0,43,B76,6,-1,21,-1,0.0,17,q,2.0,0,0,0,1,2,45.083333333333336,39.666666666666664,1.1927773117163498,7,0,3,6,0
90,2002,w,1/2-1/2,0.5,85,D30,18,-1,20,-1,0.0,13,k,2.35,0,0,0,0,2,47.95,37.23809523809524,1.3263032963906378,9,7,5,5,0
92,2002,w,1-0,1.0,47,E09,23,44,36,-1,0.0,7,k,3.0,0,0,0,0,2,40.642857142857146,38.142857142857146,1.0966757063594939,7,0,3,9,0
94,2002,w,1-0,1.0,55,C00,6,-1,23,-1,0.0,19,q,3.0,0,0,0,1,2,45.388888888888886,35.833333333333336,1.3158208177056918,5,6,2,3,0
