game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
55,1946,w,1-0,1.0,83,E72,28,-1,28,-1,0.0,15,k,2.2,0,0,0,0,1,45.15,39.333333333333336,1.1659490224695654,9,0,3,6,0
56,1946,w,1-0,1.0,81,B71,6,25,23,59,0.2839506172839506,-1,none,0.0,3,0,0,0,2,37.75,33.38095238095238,1.1430029131683543,13,5,5,5,0
59,1946,w,1/2-1/2,0.5,85,C71,12,67,14,67,0.2235294117647059,23,k,2.75,0,0,2,0,3,36.55,37.19047619047619,0.9834039835082043,10,2,8,1,0
61,1946,w,1/2-1/2,0.5,82,B07,15,-1,35,-1,0.0,11,k,1.85,0,0,1,0,3,44.95,36.76190476190476,1.2333533212909642,8,0,6,2,1
63,1947,w,1-0,1.0,81,E49,10,-1,10,-1,0.0,19,k,2.2,0,0,1,0,2,34.4,36.95238095238095,0.9384506972705055,7,1,3,6,0
64,1947,w,1/2-1/2,0.5,82,D36,7,78,7,78,0.06097560975609756,19,k,2.65,0,0,0,0,2,37.95,37.523809523809526,1.011750912685274,10,1,6,8,1
66,1947,w,0-1,0.0,144,E19,16,-1,16,-1,0.0,11,k,2.25,1,0,0,0,2,41.35,36.714285714285715,1.1359741746339094,11,0,3,5,0
69,1947,w,1-0,1.0,145,D31,7,71,36,76,0.4827586206896552,47,k,2.0,8,0,1,1,2,38.75,39.0,0.9987033206791202,14,5,7,4,1
71,1947,w,1-0,1.0,115,A08,24,39,41,66,0.43478260869565216,7,k,2.75,0,0,0,0,2,30.35,35.714285714285715,0.8718451926799318,13,2,9,5,0
73,1947,w,1-0,1.0,75,E35,9,-1,13,-1,0.0,27,k,2.85,0,0,1,0,2,43.35,44.095238095238095,1.001174137361992,9,3,4,3,0
75,1947,w,0-1,0.0,80,C89,17,43,20,-1,0.0,9,k,2.0,0,0,0,0,2,30.4,40.04761904761905,0.7701381054572899,10,0,10,1,0
76,1947,w,1/2-1/2,0.5,48,A96,24,-1,29,-1,0.0,9,k,2.7142857142857144,0,0,0,0,2,39.92857142857143,31.6,1.2791436009452324,6,1,5,3,0
78,1949,w,1/2-1/2,0.5,63,E19,16,-1,16,-1,0.0,11,k,2.05,0,0,0,0,1,30.7,37.95238095238095,0.8362103235653613,5,0,5,3,0
79,1949,w,1/2-1/2,0.5,102,B10,6,45,9,87,0.1568627450980392,13,k,2.1,0,0,1,1,3,38.45,35.04761904761905,1.13009254618448,12,5,7,3,0
80,1949,w,0-1,0.0,92,B84,6,45,35,-1,0.0,13,k,1.8,0,0,0,0,2,37.0,34.61904761904762,1.0602354984062947,8,0,9,5,0
81,1949,w,1-0,1.0,139,D36,11,84,23,84,0.4028776978417266,19,q,1.7,0,0,0,0,2,41.05,39.19047619047619,1.056952179233227,13,6,5,5,0
83,1949,w,1-0,1.0,51,D03,16,-1,16,-1,0.0,-1,none,2.0,11,2,0,1,2,43.4375,30.25,1.4490825911634382,7,1,3,3,0
84,1949,w,1-0,1.0,87,C49,12,46,12,-1,0.0,9,k,2.7,0,4,1,0,3,37.05,26.238095238095237,1.4466783230710507,8,0,3,8,0
85,1949,w,0-1,0.0,54,E94,22,-1,22,-1,0.0,15,k,2.7058823529411766,0,0,0,0,2,44.411764705882355,36.94444444444444,1.221222797402454,4,0,6,0.0,0
86,1949,w,1/2-1/2,0.5,46,E32,22,-1,22,-1,0.0,17,q,1.6923076923076923,0,0,0,0,2,34.46153846153846,40.42857142857143,0.8525672426108527,4,0,5,0.0,0
87,1949,w,1/2-1/2,0.5,73,D70,7,-1,27,-1,0.0,19,k,2.15,0,0,0,0,2,38.85,35.04761904761905,1.121488931593172,6,1,3,3,0
99,1949,w,1-0,1.0,95,C49,10,88,10,-1,0.0,9,k,1.75,0,2,1,0,2,39.45,35.095238095238095,1.131991173694893,10,0,3,10,0
101,1949,w,1-0,1.0,91,A34,7,62,10,-1,0.0,-1,none,2.4,9,0,1,0,2,47.35,37.61904761904762,1.2822420128536742,11,5,3,11,0
102,1949,w,1-0,1.0,55,D74,11,-1,28,-1,0.0,13,k,1.4444444444444444,0,0,2,0,3,42.388888888888886,38.55555555555556,1.0885613678850885,6,3,3,2,0
104,1949,w,1-0,1.0,87,A54,26,-1,32,-1,0.0,13,k,3.0,0,0,0,0,2,40.15,30.428571428571427,1.3231206494595757,8,0,3,7,0
106,1949,w,1-0,1.0,85,C46,9,12,17,53,0.38823529411764707,-1,none,0.35,0,0,0,0,2,32.45,27.857142857142858,1.2446087676275082,10,2,3,9,0
108,1949,w,1/2-1/2,0.5,115,B25,40,-1,40,-1,0.0,13,k,1.1,0,0,0,0,1,37.55,34.42857142857143,1.1197482673868797,7,3,5,3,1
110,1949,w,1-0,1.0,82,C09,7,-1,27,-1,0.0,17,k,2.6,0,0,0,0,2,43.5,40.57142857142857,1.0712836158101509,8,1,4,3,0
112,1949,w,1/2-1/2,0.5,60,C01,5,14,17,35,0.43333333333333335,23,k,1.3,3,0,0,0,2,25.75,25.0,1.1269561673166362,11,3,5,9,0
113,1950,w,0-1,0.0,136,C49,12,-1,12,-1,0.0,9,k,1.5,0,0,1,0,2,41.35,31.142857142857142,1.3459227274520207,8,1,5,3,0
117,1950,w,1-0,1.0,83,D35,9,-1,25,-1,0.0,19,q,1.3,0,0,1,0,3,42.15,38.76190476190476,1.1003398241478324,9,2,2,5,0
122,1950,w,1/2-1/2,0.5,40,A47,20,-1,24,-1,0.0,15,k,3.0,0,2,0,0,2,45.3,35.36363636363637,1.275629150261503,3,0,3,1,0
123,1950,w,1-0,1.0,75,D54,15,25,17,-1,0.0,-1,none,1.75,0,0,0,0,2,36.2,23.714285714285715,1.6517047274900958,7,0,9,3,0
124,1950,w,1/2-1/2,0.5,97,A63,16,-1,36,-1,0.0,13,k,2.0,0,2,1,0,3,42.7,39.04761904761905,1.0910558952066844,6,0,4,0.0,0
125,1950,w,1/2-1/2,0.5,112,E72,30,-1,32,-1,0.0,17,k,2.3,0,0,0,0,2,41.8,35.095238095238095,1.2212171461565093,12,11,5,5,0
126,1950,w,1/2-1/2,0.5,53,E49,8,32,8,-1,0.0,23,k,2.411764705882353,0,0,1,1,3,28.58823529411765,31.705882352941178,0.9030065118918416,6,0,3,9,0
